#SAMPLE	HQ_HOM	HQ_HOM_RATE	HQ_HET	HQ_HET_RATE	CHARR	MEAN_REF_AB_HOM_ALT	HETEROZYGOSITY_RATE	INCONSISTENT_AB_HET_RATE
HG03061	1016277	1.00000	1596079	0.97723	0.00383	0.00125	0.61097	0.01125
NA18538	1074435	1.00000	1596527	0.97624	0.00469	0.00149	0.59773	0.00762
HG00319	953044	1.00000	1684807	0.97618	0.00388	0.00120	0.63870	0.01138
HG00338	953856	1.00000	1673237	0.97694	0.00493	0.00152	0.63692	0.00984
NA12878	957199	1.00000	1652974	0.97804	0.00407	0.00128	0.63328	0.01082
HG03874	971892	1.00000	1714265	0.97682	0.00479	0.00153	0.63818	0.01092
HG02040	1059100	1.00000	1601552	0.97589	0.00362	0.00114	0.60194	0.01141
NA19189	995427	1.00000	1536231	0.97779	0.00330	0.00108	0.60681	0.01298
HG01095	915021	1.00000	1704925	0.97829	0.00414	0.00127	0.65075	0.01223
HG02079	1055520	1.00000	1551228	0.97595	0.00355	0.00113	0.59508	0.01290
NA19704	956579	1.00000	1690550	0.97876	0.00366	0.00117	0.63864	0.01118
HG01465	950849	1.00000	1654683	0.97715	0.00386	0.00122	0.63507	0.01208
HG00320	988909	1.00000	1641692	0.97719	0.00489	0.00154	0.62407	0.00861
HG03060	1013435	1.00000	1603306	0.97750	0.00397	0.00130	0.61271	0.01114
NA18647	1064938	1.00000	1594414	0.97524	0.00443	0.00139	0.59955	0.01125
NA20753	945551	1.00000	1682864	0.97701	0.00493	0.00151	0.64026	0.01193
HG03616	962730	1.00000	1720749	0.97733	0.00422	0.00132	0.64124	0.01143
HG00653	1092992	1.00000	1587056	0.97704	0.00426	0.00137	0.59217	0.00577
NA20318	914511	1.00000	1778353	0.97779	0.00434	0.00135	0.66039	0.00976
HG00146	964294	1.00000	1684097	0.97694	0.00425	0.00134	0.63589	0.00736
HG00881	1074624	1.00000	1584884	0.97559	0.00426	0.00132	0.59593	0.01079
HG03121	1025645	1.00000	1581675	0.97808	0.00366	0.00121	0.60663	0.01055
NA20785	941034	1.00000	1705450	0.97678	0.00412	0.00126	0.64442	0.00854
NA19385	986758	1.00000	1626488	0.97813	0.00330	0.00106	0.62240	0.01140
NA19454	1004587	1.00000	1629697	0.97718	0.00343	0.00113	0.61865	0.01120
NA20906	984243	1.00000	1729492	0.97671	0.00409	0.00129	0.63731	0.00871
NA19025	1013375	1.00000	1616225	0.97809	0.00354	0.00116	0.61463	0.01028
HG00607	1089272	1.00000	1570817	0.97562	0.00385	0.00125	0.59051	0.00983
HG00128	977801	1.00000	1662983	0.97658	0.00460	0.00147	0.62973	0.00749
HG00403	1050642	1.00000	1575554	0.97586	0.00381	0.00118	0.59994	0.01245
NA19002	1076413	1.00000	1583690	0.97566	0.00441	0.00139	0.59535	0.00983
NA12762	968215	1.00000	1665136	0.97729	0.00437	0.00138	0.63233	0.00993
HG02285	1061983	1.00000	1532517	0.97530	0.00369	0.00117	0.59068	0.01242
HG02922	988275	1.00000	1594373	0.97757	0.00377	0.00125	0.61734	0.01234
HG02557	983779	1.00000	1635860	0.97779	0.00415	0.00139	0.62446	0.01161
HG03773	1021141	1.00000	1645177	0.97725	0.00562	0.00189	0.61702	0.00824
HG02502	941409	1.00000	1673962	0.97833	0.00436	0.00143	0.64005	0.01232
NA18982	1050318	1.00000	1555974	0.97742	0.00420	0.00131	0.59701	0.01241
HG01843	1064311	1.00000	1571717	0.97512	0.00433	0.00138	0.59624	0.01205
HG04200	965803	1.00000	1711525	0.97749	0.00691	0.00228	0.63927	0.00966
NA19347	998729	1.00000	1630061	0.97742	0.00345	0.00113	0.62008	0.01054
NA19462	1006575	1.00000	1626373	0.97563	0.00350	0.00115	0.61770	0.01484
HG01845	1063743	1.00000	1571731	0.97580	0.00414	0.00131	0.59638	0.01217
HG03706	971494	1.00000	1695045	0.97711	0.00499	0.00153	0.63567	0.01127
NA19771	953863	1.00000	1655482	0.97699	0.00359	0.00112	0.63444	0.01225
HG02016	1010451	1.00000	1579147	0.97651	0.00363	0.00113	0.60980	0.01344
HG01605	930456	1.00000	1647695	0.97711	0.00402	0.00124	0.63910	0.01207
NA19007	1046265	1.00000	1557510	0.97635	0.00397	0.00126	0.59817	0.01275
HG00376	967653	1.00000	1661754	0.97726	0.00395	0.00122	0.63199	0.01065
HG02700	939110	1.00000	1694767	0.97700	0.00457	0.00141	0.64345	0.01202
HG01503	943204	1.00000	1653873	0.97774	0.00408	0.00127	0.63682	0.01158
NA20530	950555	1.00000	1673154	0.97668	0.00498	0.00159	0.63771	0.01055
NA20818	943962	1.00000	1683208	0.97711	0.00412	0.00127	0.64069	0.01097
NA19141	983758	1.00000	1544820	0.97758	0.00376	0.00121	0.61094	0.01344
NA19144	1012517	1.00000	1611829	0.97780	0.00435	0.00147	0.61418	0.01063
NA18876	989052	1.00000	1612408	0.97755	0.00349	0.00114	0.61981	0.01184
HG04020	985044	1.00000	1698797	0.97705	0.00879	0.00314	0.63297	0.00989
NA18534	1059811	1.00000	1543759	0.97565	0.00343	0.00109	0.59294	0.01300
HG02643	993908	1.00000	1601743	0.97736	0.00508	0.00179	0.61709	0.01216
HG01847	1064948	1.00000	1576651	0.97536	0.00412	0.00131	0.59685	0.01119
HG02085	1051742	1.00000	1556135	0.97588	0.00354	0.00113	0.59671	0.01265
HG02407	1060254	1.00000	1574717	0.97704	0.00399	0.00126	0.59762	0.01165
HG01807	1063193	1.00000	1559060	0.97599	0.00418	0.00134	0.59455	0.01192
HG02164	1076740	1.00000	1580117	0.97605	0.00723	0.00255	0.59473	0.00975
HG02840	989966	1.00000	1587748	0.97738	0.00444	0.00143	0.61595	0.01228
HG03619	965740	1.00000	1648035	0.97695	0.00561	0.00179	0.63052	0.01168
NA07347	966798	1.00000	1662938	0.97662	0.00522	0.00164	0.63236	0.01269
NA18520	1013251	1.00000	1590147	0.97758	0.00398	0.00130	0.61080	0.01140
NA18933	990568	1.00000	1575820	0.97832	0.00372	0.00121	0.61402	0.01187
HG01176	961064	1.00000	1746445	0.97651	0.00482	0.00155	0.64504	0.00705
HG01894	996652	1.00000	1674413	0.97746	0.00388	0.00127	0.62687	0.00767
NA20863	966557	1.00000	1719190	0.97795	0.00401	0.00126	0.64012	0.00983
NA18964	1076780	1.00000	1548349	0.97617	0.00397	0.00128	0.58982	0.01161
HG01187	916325	1.00000	1746913	0.97802	0.00472	0.00142	0.65594	0.01062
HG03237	958745	1.00000	1683201	0.97758	0.00437	0.00139	0.63711	0.01092
HG01537	935484	1.00000	1654742	0.97707	0.00454	0.00145	0.63884	0.01246
HG00701	1076440	1.00000	1601853	0.97637	0.00407	0.00129	0.59809	0.00915
NA20342	906392	1.00000	1802821	0.97916	0.00397	0.00123	0.66544	0.01066
HG02450	974080	1.00000	1658916	0.97779	0.00468	0.00161	0.63005	0.01106
HG00274	950830	1.00000	1651642	0.97679	0.00363	0.00113	0.63464	0.01144
HG01253	929343	1.00000	1748771	0.97716	0.00392	0.00121	0.65299	0.01087
NA18632	1067458	1.00000	1569951	0.97545	0.00407	0.00132	0.59526	0.01207
HG03866	969298	1.00000	1686447	0.97703	0.00401	0.00125	0.63502	0.01160
HG03740	1034614	1.00000	1552355	0.97591	0.00392	0.00125	0.60007	0.01220
HG03012	958991	1.00000	1718092	0.97723	0.00526	0.00168	0.64178	0.01164
HG00189	922719	1.00000	1627444	0.97693	0.00370	0.00115	0.63817	0.01347
NA12873	949377	1.00000	1679529	0.97689	0.00525	0.00163	0.63887	0.00902
HG00277	948818	1.00000	1649104	0.97677	0.00393	0.00122	0.63478	0.01114
HG00157	933618	1.00000	1651931	0.97650	0.00367	0.00113	0.63891	0.01279
NA19031	1016460	1.00000	1651878	0.97769	0.00486	0.00162	0.61907	0.00509
HG03772	990796	1.00000	1644684	0.97704	0.00396	0.00123	0.62405	0.01213
NA19317	1003965	1.00000	1636125	0.97684	0.00353	0.00116	0.61972	0.01077
HG03077	1013420	1.00000	1578193	0.97825	0.00423	0.00141	0.60896	0.01161
NA19113	1017348	1.00000	1570799	0.97787	0.00357	0.00117	0.60692	0.01087
HG01500	932300	1.00000	1672430	0.97809	0.00406	0.00125	0.64207	0.01190
HG03363	1008367	1.00000	1561938	0.97683	0.00409	0.00139	0.60769	0.01376
HG03837	1088929	1.00000	1469767	0.97444	0.00474	0.00165	0.57442	0.01197
HG00978	1082943	1.00000	1584472	0.97640	0.00496	0.00167	0.59401	0.00972
NA19755	995571	1.00000	1603746	0.97759	0.00355	0.00113	0.61699	0.01270
HG02017	1032021	1.00000	1545841	0.97612	0.00356	0.00113	0.59966	0.01321
NA19074	1088719	1.00000	1548782	0.97564	0.00504	0.00158	0.58722	0.01098
HG03382	995545	1.00000	1595264	0.97751	0.00451	0.00146	0.61574	0.01197
NA12414	952492	1.00000	1614236	0.97646	0.00767	0.00273	0.62891	0.01285
NA20799	942629	1.00000	1656087	0.97759	0.00395	0.00121	0.63727	0.01116
HG00113	927323	1.00000	1620702	0.97684	0.00360	0.00112	0.63606	0.01252
NA20890	962096	1.00000	1678200	0.97714	0.00420	0.00130	0.63561	0.01113
HG02433	964438	1.00000	1688250	0.97778	0.00419	0.00133	0.63643	0.01078
HG00255	962446	1.00000	1660981	0.97687	0.00384	0.00119	0.63313	0.01091
NA21102	988845	1.00000	1708483	0.97674	0.00481	0.00151	0.63340	0.00845
HG03643	966351	1.00000	1690593	0.97797	0.00375	0.00115	0.63629	0.01105
HG01269	947607	1.00000	1706627	0.97747	0.00392	0.00122	0.64298	0.01057
HG03821	964294	1.00000	1715600	0.97689	0.00656	0.00215	0.64017	0.01134
NA20868	982741	1.00000	1717656	0.97782	0.00399	0.00125	0.63608	0.00929
HG02067	1061846	1.00000	1582685	0.97598	0.00412	0.00132	0.59847	0.01135
NA18501	970738	1.00000	1550474	0.97723	0.00367	0.00119	0.61497	0.01340
NA20787	966054	1.00000	1647934	0.97730	0.00415	0.00129	0.63043	0.01013
HG03687	980571	1.00000	1601984	0.97677	0.00369	0.00115	0.62031	0.01328
HG00235	969061	1.00000	1667488	0.97693	0.00411	0.00127	0.63245	0.00915
NA18502	983536	1.00000	1558633	0.97799	0.00365	0.00119	0.61311	0.01286
HG01435	967408	1.00000	1705943	0.97832	0.00385	0.00120	0.63813	0.01069
HG01777	936423	1.00000	1691216	0.97685	0.00437	0.00134	0.64363	0.01145
NA19719	932648	1.00000	1753104	0.97793	0.00430	0.00133	0.65274	0.01025
NA19092	1022568	1.00000	1613955	0.97703	0.00386	0.00127	0.61215	0.01027
HG00101	954930	1.00000	1672735	0.97709	0.00434	0.00136	0.63659	0.01061
NA20896	969097	1.00000	1685841	0.97733	0.00453	0.00138	0.63498	0.01212
HG01868	1064310	1.00000	1562034	0.97565	0.00418	0.00132	0.59476	0.01155
NA18567	1089944	1.00000	1569785	0.97609	0.00390	0.00124	0.59020	0.01112
HG02445	964798	1.00000	1698981	0.97808	0.00427	0.00141	0.63781	0.00952
HG04076	970651	1.00000	1711209	0.97681	0.00759	0.00260	0.63807	0.01135
NA19089	1065180	1.00000	1570709	0.97565	0.00444	0.00140	0.59589	0.01105
NA18939	1054372	1.00000	1543403	0.97608	0.00394	0.00122	0.59412	0.01312
HG02649	984272	1.00000	1584836	0.97639	0.00423	0.00133	0.61688	0.01291
HG02676	992577	1.00000	1610439	0.97807	0.00385	0.00124	0.61868	0.01147
NA18985	1082338	1.00000	1549245	0.97606	0.00455	0.00144	0.58871	0.01192
HG02367	1068845	1.00000	1546060	0.97662	0.00343	0.00109	0.59125	0.01192
NA20808	958332	1.00000	1672640	0.97717	0.00876	0.00316	0.63575	0.01012
NA21111	943126	1.00000	1657871	0.97655	0.00433	0.00133	0.63740	0.01301
NA18543	1059344	1.00000	1573261	0.97488	0.00346	0.00108	0.59761	0.01266
HG01851	1060438	1.00000	1580013	0.97584	0.00370	0.00117	0.59839	0.01116
HG03304	995154	1.00000	1606108	0.97767	0.00402	0.00132	0.61743	0.01153
HG03019	982143	1.00000	1642619	0.97731	0.00452	0.00141	0.62582	0.01197
NA18558	1057548	1.00000	1548689	0.97682	0.00489	0.00158	0.59422	0.01163
NA20828	948981	1.00000	1668704	0.97707	0.00389	0.00122	0.63747	0.01160
NA21116	947012	1.00000	1694918	0.97689	0.00490	0.00148	0.64155	0.01174
HG04023	1036392	1.00000	1618000	0.97699	0.00494	0.00157	0.60956	0.00994
NA18867	1006294	1.00000	1588339	0.97800	0.00361	0.00119	0.61216	0.01142
HG02697	956988	1.00000	1670511	0.97685	0.00471	0.00147	0.63578	0.01248
HG02570	1008029	1.00000	1618034	0.97774	0.00371	0.00122	0.61614	0.01074
HG01432	931768	1.00000	1619017	0.97770	0.00392	0.00122	0.63471	0.01254
HG00620	1089482	1.00000	1568061	0.97620	0.00375	0.00119	0.59004	0.01098
NA19062	1056448	1.00000	1549743	0.97576	0.00423	0.00135	0.59464	0.01230
HG02398	1048257	1.00000	1526507	0.97626	0.00395	0.00126	0.59287	0.01351
HG01271	940529	1.00000	1755824	0.97746	0.00411	0.00126	0.65118	0.01037
HG02694	1016079	1.00000	1548817	0.97704	0.00436	0.00140	0.60385	0.01199
HG03091	1014056	1.00000	1576227	0.97726	0.00383	0.00127	0.60852	0.01168
HG03746	967225	1.00000	1708001	0.97695	0.00403	0.00127	0.63845	0.01124
HG03607	964067	1.00000	1712882	0.97756	0.00569	0.00180	0.63986	0.01158
NA20878	984105	1.00000	1699921	0.97644	0.00440	0.00134	0.63335	0.00971
HG01198	970743	1.00000	1670153	0.97727	0.00413	0.00130	0.63242	0.01136
NA18565	1095903	1.00000	1573964	0.97645	0.00527	0.00171	0.58953	0.00588
HG01344	986441	1.00000	1670557	0.97608	0.00428	0.00134	0.62874	0.01078
HG04131	972688	1.00000	1743491	0.97772	0.00628	0.00202	0.64189	0.00945
NA18626	1071748	1.00000	1596549	0.97541	0.00451	0.00143	0.59834	0.01024
NA19350	981569	1.00000	1622313	0.97810	0.00414	0.00133	0.62304	0.01192
HG03049	973695	1.00000	1551441	0.97769	0.00353	0.00115	0.61440	0.01298
HG01456	937764	1.00000	1729823	0.97722	0.00405	0.00123	0.64846	0.01201
HG01852	1074622	1.00000	1587512	0.97594	0.00375	0.00117	0.59633	0.01112
HG03139	1026235	1.00000	1600806	0.97788	0.00380	0.00127	0.60936	0.00948
HG03755	925050	1.00000	1671703	0.97779	0.00676	0.00228	0.64377	0.01296
HG01366	934359	1.00000	1720926	0.97784	0.00367	0.00114	0.64811	0.01117
HG00742	946153	1.00000	1717017	0.97735	0.00469	0.00144	0.64473	0.00960
NA20771	951233	1.00000	1686167	0.97636	0.00466	0.00144	0.63933	0.00922
HG01989	953037	1.00000	1654452	0.97770	0.00329	0.00104	0.63450	0.01239
HG03849	967623	1.00000	1703283	0.97710	0.00407	0.00128	0.63772	0.01084
HG02820	991759	1.00000	1600307	0.97691	0.00392	0.00126	0.61739	0.01210
NA12044	947470	1.00000	1663085	0.97686	0.00406	0.00127	0.63706	0.01111
NA19063	1088151	1.00000	1586973	0.97693	0.00478	0.00152	0.59323	0.00837
HG03974	959577	1.00000	1693471	0.97742	0.00410	0.00127	0.63831	0.01206
NA19041	955825	1.00000	1575476	0.97805	0.00367	0.00117	0.62240	0.01322
HG02049	1052822	1.00000	1597815	0.97640	0.00361	0.00114	0.60280	0.01143
NA20872	938557	1.00000	1648538	0.97796	0.00578	0.00198	0.63722	0.01299
NA18947	1065587	1.00000	1563679	0.97679	0.00383	0.00123	0.59472	0.01170
HG02009	934979	1.00000	1653548	0.97771	0.00335	0.00107	0.63880	0.01309
NA19206	1011219	1.00000	1608841	0.97723	0.00365	0.00118	0.61405	0.01077
NA20850	977840	1.00000	1701972	0.97751	0.00426	0.00133	0.63511	0.00647
HG02775	960090	1.00000	1673028	0.97796	0.00482	0.00149	0.63538	0.01230
HG02778	975472	1.00000	1670426	0.97565	0.00440	0.00137	0.63133	0.01480
NA11994	947620	1.00000	1673095	0.97716	0.00429	0.00134	0.63841	0.01080
NA18545	1080381	1.00000	1569940	0.97557	0.00407	0.00129	0.59236	0.01076
HG00361	945796	1.00000	1652211	0.97704	0.00384	0.00119	0.63595	0.01145
NA20811	959140	1.00000	1676405	0.97661	0.00379	0.00118	0.63608	0.01088
